1	5	71
2	6	71
3	8	71
4	10	71
5	11	71
6	13	71
7	15	71
8	17	71
9	19	71
10	21	71
11	22	71
12	25	71
13	27	71
14	29	71
15	30	71
16	32	71
17	34	71
18	36	71
19	38	71
20	40	71
21	42	71
22	44	71
23	45	71
24	47	71
25	49	71
26	50	71
27	52	71
28	55	71
29	58	71
30	60	71
31	61	71
32	62	71
33	64	71
34	61	71
35	63	71
36	64	71
37	62	71
38	64	71
39	62	71
40	63	71
41	64	71
42	62	71
43	60	71
44	61	71
45	62	71
46	64	71
47	61	71
48	60	71
49	61	71
50	64	71
51	63	71
52	64	71
53	62	71
54	63	71
55	60	71
56	64	71
57	60	71
58	61	71
59	62	71
60	64	71
61	61	71
62	63	71
63	64	71
64	61	71
65	64	71
66	62	71
67	63	71
68	64	71
69	62	71
70	60	71
71	61	71
72	62	71
73	64	71
74	61	71
75	60	71
76	61	71
77	64	71
78	63	71
79	64	71
80	62	71
81	63	71
82	60	71
83	64	71
